Mixture,B cells naive,B cells memory,Plasma cells,T cells CD8,T cells CD4 naive,T cells CD4 memory resting,T cells CD4 memory activated,T cells follicular helper,T cells regulatory (Tregs),T cells gamma delta,NK cells resting,NK cells activated,Monocytes,Macrophages M0,Macrophages M1,Macrophages M2,Dendritic cells resting,Dendritic cells activated,Mast cells resting,Mast cells activated,Eosinophils,Neutrophils,P-value,Correlation,RMSE
001_0,0.012513124423128,0.0703333544620158,0.0559022814527116,0.176940683550074,0.0730636782136504,0.0685269559296067,0,0,0.0723040986089227,0,0.0851527071808184,0,0.0064390055820133,0,0,0.0107552846555229,0,0.010942467764092,0.0236225228400892,0,0,0.333503835337355,0,0.746479267514549,0.691808314704909
008_0,0.0800286832172152,0,0.0043718286079088,0.145527331391732,0.0580734155044419,0.00968077073970506,0.0203813004884657,0,0.0381610130412295,0,0.124953930204519,0,0.0178149891086102,0,0,0.00610815206229376,0,0.00166451509808666,0.00146946995335893,0,0,0.491764600582433,0,0.897581803312163,0.493058529451418
011_0,0.00602011261869947,0.014630390488804,0,0.153315911636955,0,0.119913896448001,0.0077783693679635,0,0.0120045416823112,0,0.186183236147129,0,0.0254498549684438,0,0,0,0,0.00685560966358742,0.00437586281488107,0,0,0.463472214163225,0,0.890390800133864,0.502399785912471
014_0,0.0384321073189542,0.00736509301586919,0.000693906876617915,0.087051061164896,0.0973452997807027,0.129532973098833,0.00430960711353231,0,0.00699287384210746,0,0.130790500132629,0,0.00708268736079905,0,0,0.0048637982084081,0,0.000585652247206449,0,0,0,0.484954439839444,0,0.888835015011744,0.504542126432268
016_0,0.093636570289307,0.0188952207661941,0.0112055076831118,0.0837697341964566,0.126107271171083,0.125510902185676,0,0,0.0127974398076125,0,0.0872063310650393,0,0.00951420826268106,0,0,0.00524183295916424,0,0,0.016498420486849,0,0,0.409616561126826,0,0.920452565197493,0.498418889878329
029_0,0.058241079118343,0.0209518581959501,0.0155682516851844,0.141529022201846,0.120630429447432,0,0,0,0.0667583558013632,0,0.0845724395115021,0.00679790209175069,0.041945043162513,0.00482500817031482,0,0.00147940657896962,0,0,0.0096845124213697,0,0,0.427016691613461,0,0.836663037164169,0.58587064695579
030_0,0.0336084645261193,0.0343769540898721,0.0033095538258564,0.156043669212834,0.0935523499342927,0.0416287997507283,0,0,0.0504418016326913,0,0.0971327029514101,0.00609105659072332,0,0,0,0.012154679125812,0,0,0.0212029249595862,0,0,0.450457043400074,0,0.899435864025181,0.506555421594812
034_0,0.0485706846868663,0.00559274729336566,0.00858346498542457,0.0900009702491926,0.150925862168583,0.0476624001693499,0,0,0.0640778472499879,0,0.0359020683816731,0.0220062926358732,0.0361788938818349,0,0,0.00403921180167949,0,0,0.0339779866025513,0,0,0.452481569893618,0,0.924837535470804,0.471656922107008
038_0,0.0314172937599172,0.0365631760900075,0.00293566996112081,0.222081478040005,0.0824978302191594,0.131236053566476,0.0138854993374776,0,0.0115837965119471,0.0048256518600196,0.0898327061294522,0,0.0879788885756597,0,0,0.00743061301976936,0,0,0.0152586218306554,0,0,0.262472721098333,0,0.899830019029585,0.557799724408684
046_0,0.059799934562278,0.0174173511401791,0,0.194008743621725,0.0172868131987905,0.16579154320087,0.0131443857849249,0,0,0,0.166040293027787,0,0.0100838488851841,0,0,0.00855589418611741,0,0,0.00762110612701979,0,0,0.340250086265124,0,0.896836510826545,0.5343385711018
